time,Speed pointer 1,RPM pointer 1,
1659349340804,123.16460418701172,6741.6552734375,
1659349340820,123.21248626708984,6828.65478515625,
1659349340835,122.5155029296875,6707.87646484375,
1659349340851,122.4721450805664,6790.3486328125,
1659349340867,121.8163070678711,6695.1162109375,
1659349340882,121.863525390625,6771.95947265625,
1659349340897,121.19581604003906,6654.8505859375,
1659349340912,121.18067169189453,6737.51513671875,
1659349340927,121.18067169189453,6737.51513671875,
1659349340943,120.66744995117188,6719.25634765625,
1659349340959,120.66744995117188,6719.25634765625,
1659349340975,120.01966857910156,6601.21826171875,
1659349340990,120.08885955810547,6688.0810546875,
1659349341006,119.47447967529297,6586.3759765625,
1659349341022,119.65969848632812,6669.5615234375,
1659349341037,119.0400390625,6540.83837890625,
1659349341052,119.14976501464844,6628.8828125,
1659349341067,118.54905700683594,6524.2060546875,
1659349341083,118.73030853271484,6604.328125,
1659349341099,118.06832122802734,6473.94140625,
1659349341115,118.1648178100586,6567.19384765625,
1659349341130,117.51582336425781,6457.994140625,
1659349341146,117.51582336425781,6457.994140625,
1659349341162,117.77713775634766,6426.099609375,
1659349341178,118.11258697509766,6453.455078125,
1659349341193,118.11258697509766,6453.455078125,
1659349341208,118.21623229980469,6412.01904296875,
1659349341224,118.46099853515625,6431.25,
1659349341239,118.5431900024414,6418.92138671875,
1659349341254,118.95365142822266,6447.1640625,
1659349341270,118.9908676147461,6391.900390625,
1659349341286,119.39484405517578,6439.58251953125,
1659349341302,119.59109497070312,6392.3486328125,
1659349341318,119.97337341308594,6394.53515625,
1659349341334,120.0416030883789,6355.14306640625,
1659349341349,120.60567474365234,6402.99365234375,
1659349341365,120.61253356933594,6317.966796875,
1659349341381,120.93511962890625,6371.955078125,
1659349341397,121.0213851928711,6361.20361328125,
1659349341413,121.56840515136719,6406.87158203125,
1659349341429,121.59020233154297,6333.12939453125,
1659349341444,122.30089569091797,6402.3056640625,
1659349341459,122.30089569091797,6402.3056640625,
1659349341474,122.28669738769531,6286.9189453125,
1659349341490,123.02035522460938,6367.53955078125,
1659349341506,122.98534393310547,6247.97119140625,
1659349341521,123.6527099609375,6332.49560546875,
1659349341537,123.58960723876953,6230.73876953125,
1659349341552,124.25299835205078,6318.74755859375,
1659349341568,124.16877746582031,6213.43408203125,
1659349341584,124.76764678955078,6300.3564453125,
1659349341600,124.71774291992188,6209.48193359375,
1659349341615,125.09830474853516,6281.8828125,
1659349341629,125.09830474853516,6281.8828125,
1659349341644,125.494873046875,6319.7744140625,
1659349341660,125.43756866455078,6271.3984375,
1659349341675,125.43756866455078,6271.3984375,
1659349341690,125.83560943603516,6351.701171875,
1659349341705,125.83201599121094,6311.451171875,
1659349341721,126.34986114501953,6381.83447265625,
1659349341737,126.34874725341797,6308.341796875,
1659349341752,126.7015609741211,6380.27001953125,
1659349341768,126.8260498046875,6355.44384765625,
1659349341784,127.23344421386719,6393.66943359375,
1659349341799,127.32994079589844,6349.81005859375,
1659349341815,127.54057312011719,6392.986328125,
1659349341830,127.80845642089844,6402.65478515625,
1659349341846,127.80845642089844,6402.65478515625,
1659349341862,128.08042907714844,6454.33056640625,
1659349341877,128.08413696289062,6444.419921875,
1659349341893,128.08413696289062,6444.419921875,
1659349341909,128.35914611816406,6505.0419921875,
1659349341924,128.57342529296875,6552.59033203125,
1659349341939,128.57342529296875,6552.59033203125,
1659349341954,128.58058166503906,6532.31298828125,
1659349341969,128.8525848388672,6587.68408203125,
1659349341984,128.8632049560547,6559.87060546875,
1659349341999,129.09426879882812,6615.40576171875,
1659349342014,129.182861328125,6600.52001953125,
1659349342029,129.46632385253906,6636.04931640625,
1659349342045,129.521240234375,6607.486328125,
1659349342061,129.521240234375,6607.486328125,
1659349342077,129.7615509033203,6655.19677734375,
1659349342092,130.21762084960938,6659.0869140625,
1659349342107,130.21762084960938,6659.0869140625,
1659349342123,130.27993774414062,6636.6318359375,
1659349342139,130.5419158935547,6684.02490234375,
1659349342155,130.68211364746094,6667.2626953125,
1659349342170,130.95852661132812,6691.00927734375,
1659349342186,130.9921112060547,6667.0751953125,
1659349342201,131.23751831054688,6718.97509765625,
1659349342217,131.36907958984375,6705.052734375,
1659349342232,131.63058471679688,6727.3369140625,
1659349342248,131.62139892578125,6703.91552734375,
1659349342263,131.86866760253906,6763.77734375,
1659349342279,131.86866760253906,6763.77734375,
1659349342294,131.94357299804688,6776.06982421875,
