time,speed,rpm,gear
1662162191836,118.33,5813.4,5
1662162191850,118.16,5790.03,5
1662162191871,117.94,5776.62,5
1662162191885,117.74,5780.59,5
1662162191899,117.62,5779.43,5
1662162191920,117.46,5755.7,5
1662162191934,117.23,5739.42,5
1662162191955,117.05,5746.92,5
1662162191969,116.92,5740.22,5
1662162191983,116.75,5717.04,5
1662162192004,116.54,5706.6,5
1662162192018,116.34,5708.31,5
1662162192032,116.22,5706.15,5
1662162192053,116.06,5684.03,5
1662162192067,115.83,5668.69,5
1662162192088,115.64,5676.48,5
1662162192102,115.53,5673.0,5
1662162192116,115.37,5647.08,5
1662162192137,115.16,5633.88,5
1662162192150,114.98,5635.44,5
1662162192172,114.84,5632.41,5
1662162192186,114.68,5614.27,5
1662162192200,114.46,5600.1,5
1662162192220,114.27,5606.74,5
1662162192234,114.16,5603.91,5
1662162192249,114.01,5578.09,5
1662162192270,113.8,5564.36,5
1662162192284,113.62,5567.46,5
1662162192305,113.49,5563.65,5
1662162192319,113.34,5543.57,5
1662162192333,113.11,5530.22,5
1662162192354,112.92,5538.83,5
1662162192368,112.82,5537.52,5
1662162192382,112.67,5509.65,5
1662162192403,112.48,5495.96,5
1662162192417,112.3,5495.2,5
1662162192439,112.15,5489.38,5
1662162192452,111.99,5479.17,5
1662162192466,111.79,5468.2,5
1662162192487,111.61,5469.74,5
1662162192501,111.5,5467.49,5
1662162192515,111.35,5443.39,5
1662162192536,111.12,5428.92,5
1662162192551,110.95,5438.11,5
1662162192572,110.85,5434.93,5
1662162192586,110.7,5407.88,5
1662162192600,110.51,5396.34,5
1662162192620,110.33,5393.84,5
1662162192634,110.18,5391.41,5
1662162192655,110.04,5382.14,5
1662162192669,109.84,5366.72,5
1662162192683,109.66,5368.76,5
1662162192704,109.55,5368.36,5
1662162192718,109.41,5345.87,5
1662162192732,109.19,5330.67,5
1662162192753,109.02,5339.27,5
1662162192767,108.92,5334.9,5
1662162192788,108.77,5309.09,5
1662162192802,108.58,5299.26,5
1662162192816,108.4,5299.37,5
1662162192836,108.28,5298.83,5
1662162192850,108.14,5282.04,5
1662162192871,107.93,5266.55,5
1662162192885,107.76,5274.99,5
1662162192899,107.66,5271.22,5
1662162192920,107.51,5246.55,5
