time,speed,rpm,gear
1662162262542,102.83,6649.53,4
1662162262563,103.1,6677.01,4
1662162262577,103.48,6722.28,4
1662162262598,103.86,6736.65,4
1662162262612,104.19,6748.42,4
1662162262626,104.5,6775.2,4
1662162262647,104.86,6808.9,4
1662162262660,105.24,6831.06,4
1662162262675,105.58,6843.05,4
1662162262696,105.87,6868.02,4
1662162262710,106.24,6909.83,4
1662162262731,106.65,6927.77,4
1662162262745,106.98,6932.02,4
1662162262759,107.25,6961.7,4
1662162262779,107.68,7011.19,4
1662162262793,108.05,7012.43,4
1662162262814,108.36,7026.82,4
1662162262828,108.69,7063.69,4
1662162262842,109.06,7094.89,4
1662162262863,109.46,7114.53,4
1662162262877,109.79,7124.54,4
1662162262891,110.07,7155.41,4
1662162262912,110.49,7202.59,4
1662162262926,110.88,7208.43,4
1662162262947,111.2,7221.03,4
1662162262961,111.53,7257.66,4
1662162262975,111.9,7291.8,4
1662162262996,112.32,7311.5,4
1662162263010,112.65,7318.71,4
1662162263031,112.93,7349.81,4
1662162263045,113.36,7400.7,4
1662162263059,113.75,7402.85,4
1662162263080,114.07,7419.33,4
1662162263094,114.42,7457.12,4
1662162263108,114.79,7487.49,4
1662162263129,115.19,7509.98,4
1662162263143,115.54,7522.38,4
1662162263164,115.84,7551.37,4
1662162263178,116.25,7597.88,4
1662162263192,116.66,7612.04,4
1662162263213,117.0,7621.66,4
1662162263227,117.31,7655.69,4
1662162263247,117.73,7701.02,4
1662162263262,118.14,7709.81,4
1662162263276,118.47,7723.21,4
1662162263297,118.81,7760.38,4
1662162263310,119.21,7798.28,4
1662162263324,119.62,7815.24,4
1662162263345,119.97,7829.44,4
1662162263360,120.28,7861.52,4
1662162263381,120.7,7908.0,4
1662162263395,121.13,7921.77,4
1662162263409,121.47,7932.42,4
1662162263430,121.8,7969.68,4
1662162263444,122.22,8012.32,4
1662162263458,122.63,8024.36,4
1662162263479,123.0,8041.03,4
1662162263493,123.33,8073.01,4
1662162263514,123.73,8116.16,4
1662162263528,123.61,8555.1,4
1662162263542,123.23,8454.8,4
1662162263563,122.96,8349.66,1
1662162263577,122.77,8245.63,1
1662162263591,122.69,8142.75,1
1662162263612,122.61,8041.03,5
1662162263626,122.51,7940.44,5
1662162263647,122.38,7840.97,5
1662162263661,122.42,7615.89,5
1662162263675,122.57,7265.17,5
1662162263696,122.75,6790.22,5
1662162263710,123.12,6249.55,5
1662162263731,123.17,6078.67,5
1662162263745,122.92,5998.6,5
1662162263759,122.71,6032.32,5
1662162263780,122.62,6077.15,5
1662162263794,122.68,6113.07,5
1662162263808,122.83,6131.59,5
1662162263829,122.94,6146.77,5
1662162263843,123.09,6186.16,5
1662162263864,123.41,6217.05,5
1662162263878,123.66,6199.02,5
1662162263892,123.79,6198.91,5
1662162263913,123.98,6235.15,5
1662162263927,124.28,6253.12,5
1662162263941,124.52,6238.83,5
1662162263962,124.64,6242.59,5
1662162263976,124.85,6281.61,5
1662162263996,125.14,6295.25,5
1662162264010,125.38,6283.18,5
1662162264024,125.52,6287.55,5
1662162264045,125.69,6319.95,5
1662162264059,126.0,6342.6,5
1662162264080,126.24,6328.84,5
1662162264094,126.34,6330.54,5
1662162264108,126.56,6373.56,5
1662162264129,126.85,6385.08,5
1662162264143,127.08,6374.45,5
1662162264164,127.23,6379.74,5
1662162264178,127.41,6408.56,5
1662162264191,127.7,6431.57,5
1662162264212,127.94,6421.65,5
1662162264226,128.05,6424.74,5
1662162264247,128.27,6464.19,5
1662162264261,128.55,6477.14,5
1662162264275,128.8,6468.14,5
1662162264296,128.93,6469.41,5
1662162264310,129.1,6503.23,5
1662162264331,129.43,6528.54,5
1662162264345,129.66,6507.9,5
1662162264359,129.76,6513.37,5
1662162264380,130.0,6556.79,5
1662162264394,130.26,6561.2,5
1662162264408,130.5,6559.55,5
1662162264429,130.65,6563.38,5
1662162264443,130.8,6590.6,5
1662162264463,131.13,6622.3,5
1662162264477,131.37,6602.09,5
1662162264491,131.46,6604.78,5
1662162264512,131.71,6651.01,5
1662162264526,131.97,6653.54,5
1662162264547,132.2,6650.63,5
1662162264561,132.37,6655.78,5
1662162264575,132.52,6679.88,5
1662162264596,132.82,6710.47,5
1662162264610,133.07,6697.58,5
1662162264631,133.18,6697.73,5
1662162264645,133.39,6738.78,5
1662162264659,133.68,6752.49,5
1662162264680,133.92,6741.43,5
1662162264694,134.05,6744.26,5
1662162264708,134.23,6778.7,5
1662162264729,134.55,6802.34,5
1662162264743,134.78,6784.26,5
1662162264764,134.88,6788.8,5
1662162264778,135.11,6831.58,5
1662162264792,135.38,6839.13,5
1662162264813,135.62,6834.11,5
1662162264826,135.77,6838.34,5
1662162264848,135.93,6867.25,5
1662162264862,136.24,6896.12,5
1662162264876,136.49,6879.28,5
1662162264897,136.58,6880.89,5
1662162264911,136.82,6925.43,5
1662162264925,137.09,6932.97,5
1662162264946,137.34,6926.15,5
1662162264960,137.49,6928.42,5
1662162264981,137.64,6956.88,5
1662162264995,137.97,6987.05,5
1662162265009,138.21,6967.22,5
1662162265030,138.31,6969.45,5
1662162265044,138.55,7014.27,5
1662162265065,138.82,7019.54,5
1662162265079,139.06,7013.92,5
1662162265093,139.21,7017.6,5
1662162265114,139.36,7045.28,5
1662162265128,139.69,7075.78,5
1662162265142,139.94,7056.71,5
1662162265163,140.02,7057.21,5
1662162265177,140.27,7104.25,5
1662162265197,140.54,7108.66,5
1662162265211,140.78,7102.65,5
1662162265225,140.95,7106.06,5
1662162265246,141.1,7130.14,5
1662162265260,141.4,7161.61,5
1662162265274,141.65,7148.58,5
1662162265295,141.77,7148.18,5
1662162265309,141.97,7188.53,5
1662162265330,142.27,7204.6,5
1662162265344,142.52,7191.26,5
1662162265358,142.64,7192.23,5
1662162265379,142.83,7230.27,5
1662162265394,143.15,7249.11,5
1662162265408,143.38,7232.16,5
1662162265429,143.51,7237.1,5
1662162265443,143.71,7273.89,5
1662162265464,144.0,7290.38,5
1662162265478,144.25,7279.8,5
1662162265492,144.36,7282.24,5
1662162265513,144.57,7322.54,5
1662162265527,144.87,7336.33,5
1662162265541,145.11,7324.64,5
1662162265562,145.25,7327.44,5
1662162265576,145.43,7359.69,5
1662162265597,145.73,7383.77,5
1662162265611,145.99,7370.17,5
1662162265625,146.09,7369.95,5
1662162265646,146.31,7413.25,5
1662162265660,146.61,7425.34,5
1662162265681,146.84,7413.21,5
1662162265695,146.99,7417.92,5
1662162265709,147.16,7447.94,5
1662162265730,147.47,7473.63,5
1662162265744,147.72,7461.24,5
1662162265758,147.82,7459.55,5
1662162265779,148.05,7505.48,5
1662162265793,148.35,7515.52,5
1662162265814,148.58,7501.8,5
1662162265828,148.75,7509.54,5
1662162265842,148.93,7534.3,5
1662162265863,149.19,7556.84,5
1662162265877,149.45,7555.75,5
1662162265891,149.58,7554.66,5
1662162265912,149.76,7591.41,5
1662162265926,150.09,7614.58,5
1662162265947,150.33,7593.73,5
1662162265961,150.45,7596.9,5
1662162265975,150.68,7637.32,5
1662162265996,150.95,7646.66,5
1662162266010,151.2,7641.78,5
1662162266024,151.35,7642.84,5
1662162266045,151.51,7675.22,5
1662162266059,151.85,7704.92,5
1662162266079,152.09,7681.69,5
1662162266093,152.18,7686.16,5
1662162266107,152.44,7732.28,5
1662162266129,152.7,7732.9,5
1662162266143,152.94,7732.71,5
1662162266164,153.07,7709.35,5
1662162266178,153.11,7687.71,5
1662162266192,153.18,7667.08,5
1662162266213,153.13,7607.13,5
1662162266227,152.87,7551.89,5
1662162266241,152.6,7540.64,5
1662162266262,152.41,7532.99,5
1662162266276,152.17,7505.35,5
1662162266297,151.88,7488.02,5
1662162266311,151.61,7486.84,5
1662162266325,151.39,7481.19,5
1662162266346,151.15,7458.79,5
1662162266360,150.84,7442.26,5
1662162266381,150.56,7447.03,5
1662162266395,150.37,7442.14,5
1662162266409,150.13,7414.19,5
1662162266430,149.86,7395.88,5
1662162266444,149.59,7389.56,5
1662162266458,149.36,7384.94,5
1662162266479,149.14,7366.37,5
1662162266493,148.83,7346.44,5
1662162266508,148.56,7349.76,5
1662162266529,148.37,7344.23,5
1662162266544,148.15,7315.39,5
1662162266565,147.86,7297.14,5
1662162266578,147.59,7295.55,5
1662162266592,147.39,7290.86,5
1662162266613,147.16,7265.83,5
1662162266627,146.86,7247.91,5
1662162266648,146.6,7252.24,5
1662162266662,146.41,7244.27,5
1662162266676,146.17,7216.75,5
1662162266697,145.91,7202.85,5
1662162266710,145.65,7196.82,5
1662162266724,145.43,7191.6,5
1662162266745,145.21,7174.01,5
1662162266759,144.91,7153.64,5
1662162266780,144.64,7157.58,5
1662162266794,144.47,7156.25,5
1662162266807,144.25,7124.79,5
1662162266829,143.96,7103.8,5
1662162266843,143.73,7106.74,5
1662162266864,143.53,7094.94,5
1662162266878,143.29,7070.88,5
1662162266892,143.01,7061.48,5
1662162266912,142.75,7060.03,5
1662162266926,142.56,7055.82,5
1662162266941,142.34,7031.71,5
1662162266961,142.06,7013.97,5
1662162266975,141.81,7016.34,5
1662162266996,141.63,7010.49,5
1662162267010,141.42,6983.57,5
1662162267024,141.13,6964.89,5
1662162267045,140.88,6967.61,5
1662162267059,140.7,6963.94,5
1662162267080,140.49,6936.92,5
1662162267094,140.2,6917.97,5
1662162267108,139.96,6922.26,5
1662162267129,139.78,6915.33,5
1662162267143,139.56,6890.08,5
1662162267164,139.28,6874.84,5
1662162267177,139.03,6876.52,5
1662162267192,138.85,6873.67,5
1662162267213,138.65,6846.81,5
1662162267227,138.36,6828.22,5
1662162267248,138.12,6833.9,5
1662162267262,137.95,6828.17,5
1662162267276,137.74,6800.72,5
1662162267297,137.47,6784.57,5
1662162267311,137.22,6783.89,5
1662162267325,137.04,6781.59,5
1662162267347,136.84,6758.6,5
1662162267361,136.55,6739.16,5
1662162267375,136.31,6746.76,5
1662162267395,136.15,6740.87,5
1662162267410,135.94,6712.27,5
1662162267430,135.68,6696.65,5
1662162267444,135.44,6695.73,5
1662162267458,135.26,6692.85,5
1662162267479,135.06,6669.83,5
1662162267494,134.77,6651.18,5
1662162267514,134.53,6660.42,5
1662162267528,134.38,6655.45,5
1662162267542,134.19,6623.94,5
1662162267564,133.94,6606.94,5
1662162267578,133.7,6602.42,5
1662162267592,133.51,6599.19,5
1662162267613,133.32,6582.22,5
1662162267628,133.05,6562.6,5
1662162267642,132.81,6567.41,5
1662162267663,132.67,6563.97,5
1662162267677,132.48,6533.85,5
1662162267698,132.2,6515.56,5
1662162267712,131.98,6521.71,5
1662162267726,131.83,6515.91,5
1662162267746,131.63,6487.47,5
1662162267761,131.38,6471.91,5
1662162267775,131.14,6472.5,5
1662162267796,130.98,6471.24,5
1662162267810,130.8,6446.13,5
1662162267824,130.51,6426.96,5
1662162267845,130.3,6437.17,5
1662162267859,130.15,6430.21,5
1662162267881,129.96,6400.51,5
1662162267895,129.73,6385.76,5
1662162267909,129.49,6381.3,5
1662162267930,129.31,6381.95,5
1662162267943,129.14,6364.38,5
1662162267964,128.87,6342.72,5
1662162267979,128.65,6348.93,5
1662162267993,128.51,6343.61,5
1662162268014,128.32,6315.62,5
1662162268028,128.07,6299.77,5
1662162268042,127.84,6304.91,5
1662162268063,127.7,6302.66,5
1662162268077,127.52,6273.9,5
1662162268091,127.27,6257.39,5
1662162268112,127.06,6260.92,5
1662162268126,126.9,6255.13,5
1662162268147,126.71,6231.48,5
1662162268162,126.46,6217.92,5
1662162268176,126.24,6223.54,5
1662162268197,126.1,6220.32,5
1662162268211,125.92,6192.4,5
1662162268225,125.68,6175.27,5
1662162268246,125.47,6178.0,5
1662162268260,125.32,6174.3,5
1662162268281,125.14,6151.27,5
1662162268295,124.88,6134.38,5
1662162268309,124.67,6141.83,5
1662162268329,124.54,6138.74,5
1662162268344,124.36,6110.21,5
1662162268364,124.12,6094.36,5
1662162268378,123.92,6096.01,5
1662162268392,123.76,6091.13,5
1662162268413,123.58,6070.73,5
1662162268427,123.33,6057.06,5
1662162268441,123.12,6062.48,5
